method,backbone,dataset,noise_name,seed,ece_type,ece,source_file
Ours,vit_b16_imagenet,cifar10,pairflip_0.3,1,Calibrated,0.0277207416653632,stage2/vit_b16_imagenet/cifar10/runs.csv
Ours,vit_b16_imagenet,cifar10,pairflip_0.3,2,Calibrated,0.0287806588187813,stage2/vit_b16_imagenet/cifar10/runs.csv
Ours,vit_b16_imagenet,cifar10,pairflip_0.3,3,Calibrated,0.0290003598377108,stage2/vit_b16_imagenet/cifar10/runs.csv
Ours,vit_b16_imagenet,cifar10,symmetric_0.6,1,Raw,0.1231997961625457,stage2/vit_b16_imagenet/cifar10/runs.csv
Ours,vit_b16_imagenet,cifar10,symmetric_0.6,2,Raw,0.1215099658936262,stage2/vit_b16_imagenet/cifar10/runs.csv
Ours,vit_b16_imagenet,cifar10,symmetric_0.6,3,Raw,0.1227091941133141,stage2/vit_b16_imagenet/cifar10/runs.csv
Ours,vit_b16_imagenet,cifar10,symmetric_0.6,1,Calibrated,0.0328710695147514,stage2/vit_b16_imagenet/cifar10/runs.csv
Ours,vit_b16_imagenet,cifar10,symmetric_0.6,2,Calibrated,0.0319839610755443,stage2/vit_b16_imagenet/cifar10/runs.csv
Ours,vit_b16_imagenet,cifar10,symmetric_0.6,3,Calibrated,0.0324540265500545,stage2/vit_b16_imagenet/cifar10/runs.csv
Ours,vit_b16_imagenet,cifar100,human_noisy_label,1,Raw,0.0762896738070994,stage2/vit_b16_imagenet/cifar100/runs.csv
Ours,vit_b16_imagenet,cifar100,human_noisy_label,2,Raw,0.0769535461895167,stage2/vit_b16_imagenet/cifar100/runs.csv
Ours,vit_b16_imagenet,cifar100,human_noisy_label,3,Raw,0.0761628274526447,stage2/vit_b16_imagenet/cifar100/runs.csv
Ours,vit_b16_imagenet,cifar100,human_noisy_label,1,Calibrated,0.0803155939877033,stage2/vit_b16_imagenet/cifar100/runs.csv
Ours,vit_b16_imagenet,cifar100,human_noisy_label,2,Calibrated,0.0813544076576828,stage2/vit_b16_imagenet/cifar100/runs.csv
Ours,vit_b16_imagenet,cifar100,human_noisy_label,3,Calibrated,0.0769522745296359,stage2/vit_b16_imagenet/cifar100/runs.csv
Ours,vit_b16_imagenet,cifar100,instance_0.4,1,Raw,0.1467679248880595,stage2/vit_b16_imagenet/cifar100/runs.csv
Ours,vit_b16_imagenet,cifar100,instance_0.4,2,Raw,0.1457363173585385,stage2/vit_b16_imagenet/cifar100/runs.csv
Ours,vit_b16_imagenet,cifar100,instance_0.4,3,Raw,0.146283885359019,stage2/vit_b16_imagenet/cifar100/runs.csv
Ours,vit_b16_imagenet,cifar100,instance_0.4,1,Calibrated,0.023975459511578,stage2/vit_b16_imagenet/cifar100/runs.csv
Ours,vit_b16_imagenet,cifar100,instance_0.4,2,Calibrated,0.0376319246575236,stage2/vit_b16_imagenet/cifar100/runs.csv
Ours,vit_b16_imagenet,cifar100,instance_0.4,3,Calibrated,0.0237565318338572,stage2/vit_b16_imagenet/cifar100/runs.csv
Ours,vit_b16_imagenet,cifar100,pairflip_0.3,1,Raw,0.1055117976028472,stage2/vit_b16_imagenet/cifar100/runs.csv
Ours,vit_b16_imagenet,cifar100,pairflip_0.3,2,Raw,0.1039082467231899,stage2/vit_b16_imagenet/cifar100/runs.csv
Ours,vit_b16_imagenet,cifar100,pairflip_0.3,3,Raw,0.1048196038350462,stage2/vit_b16_imagenet/cifar100/runs.csv
Ours,vit_b16_imagenet,cifar100,pairflip_0.3,1,Calibrated,0.0296089163519442,stage2/vit_b16_imagenet/cifar100/runs.csv
Ours,vit_b16_imagenet,cifar100,pairflip_0.3,2,Calibrated,0.0427161660976707,stage2/vit_b16_imagenet/cifar100/runs.csv
Ours,vit_b16_imagenet,cifar100,pairflip_0.3,3,Calibrated,0.0389662222094833,stage2/vit_b16_imagenet/cifar100/runs.csv
Ours,vit_b16_imagenet,cifar100,symmetric_0.6,1,Raw,0.2146631083138287,stage2/vit_b16_imagenet/cifar100/runs.csv
Ours,vit_b16_imagenet,cifar100,symmetric_0.6,2,Raw,0.2246057241491973,stage2/vit_b16_imagenet/cifar100/runs.csv
Ours,vit_b16_imagenet,cifar100,symmetric_0.6,3,Raw,0.2194493270300329,stage2/vit_b16_imagenet/cifar100/runs.csv
Ours,vit_b16_imagenet,cifar100,symmetric_0.6,1,Calibrated,0.0315668656244873,stage2/vit_b16_imagenet/cifar100/runs.csv
Ours,vit_b16_imagenet,cifar100,symmetric_0.6,2,Calibrated,0.0317569115892053,stage2/vit_b16_imagenet/cifar100/runs.csv
Ours,vit_b16_imagenet,cifar100,symmetric_0.6,3,Calibrated,0.043560045735538,stage2/vit_b16_imagenet/cifar100/runs.csv
Ours,vit_l16_imagenet,cifar10,human_worse_label,1,Raw,0.0782664360299706,stage2/vit_l16_imagenet/cifar10/runs.csv
Ours,vit_l16_imagenet,cifar10,human_worse_label,2,Raw,0.0790294369190931,stage2/vit_l16_imagenet/cifar10/runs.csv
Ours,vit_l16_imagenet,cifar10,human_worse_label,3,Raw,0.0783965228050946,stage2/vit_l16_imagenet/cifar10/runs.csv
Ours,vit_l16_imagenet,cifar10,human_worse_label,1,Calibrated,0.02704757553339,stage2/vit_l16_imagenet/cifar10/runs.csv
